time,open,high,low,close,volume
1500000000,1.10000,1.10005,1.09989,1.09993,0.00
1500003600,1.09993,1.10032,1.09948,1.10028,0.00
1500007200,1.10028,1.10053,1.10021,1.10045,0.00
1500010800,1.10045,1.10057,1.10010,1.10050,0.00
1500014400,1.10050,1.10086,1.10028,1.10083,0.00
1500018000,1.10083,1.10091,1.09993,1.10032,0.00
1500021600,1.10032,1.10038,1.10017,1.10035,0.00
1500025200,1.10035,1.10044,1.09947,1.09962,0.00
1500028800,1.09962,1.10013,1.09951,1.10006,0.00
1500032400,1.10006,1.10042,1.09972,1.10018,0.00
1500036000,1.10018,1.10092,1.09939,1.10047,0.00
1500039600,1.10047,1.10074,1.09990,1.10016,0.00
1500043200,1.10016,1.10086,1.09991,1.10049,0.00
1500046800,1.10049,1.10052,1.09991,1.09999,0.00
1500050400,1.09999,1.10030,1.09980,1.10005,0.00
1500054000,1.10005,1.10042,1.09991,1.10023,0.00
1500057600,1.10023,1.10044,1.09977,1.09991,0.00
1500061200,1.09991,1.10024,1.09921,1.10016,0.00
1500064800,1.10016,1.10049,1.09953,1.09976,0.00
1500068400,1.09976,1.10062,1.09950,1.10047,0.00
1500072000,1.10047,1.10121,1.10004,1.10118,0.00
1500075600,1.10118,1.10147,1.10048,1.10092,0.00
1500079200,1.10092,1.10101,1.10082,1.10093,0.00
1500082800,1.10093,1.10147,1.10024,1.10130,0.00
1500086400,1.10130,1.10179,1.10113,1.10161,0.00
1500090000,1.10161,1.10189,1.10102,1.10119,0.00
1500093600,1.10119,1.10142,1.10094,1.10116,0.00
1500097200,1.10116,1.10171,1.10069,1.10101,0.00
1500100800,1.10101,1.10114,1.10037,1.10073,0.00
1500104400,1.10073,1.10081,1.10067,1.10072,0.00
1500108000,1.10072,1.10153,1.10064,1.10126,0.00
1500111600,1.10126,1.10154,1.10065,1.10076,0.00
1500115200,1.10076,1.10138,1.10017,1.10138,0.00
1500118800,1.10138,1.10185,1.10116,1.10120,0.00
1500122400,1.10120,1.10154,1.10089,1.10094,0.00
1500126000,1.10094,1.10190,1.10073,1.10165,0.00
1500129600,1.10165,1.10187,1.10030,1.10047,0.00
1500133200,1.10047,1.10065,1.10019,1.10019,0.00
1500136800,1.10019,1.10137,1.10006,1.10106,0.00
1500140400,1.10106,1.10187,1.10095,1.10174,0.00
1500144000,1.10174,1.10216,1.10167,1.10179,0.00
1500147600,1.10179,1.10206,1.10119,1.10119,0.00
1500151200,1.10119,1.10241,1.10078,1.10233,0.00
1500154800,1.10233,1.10237,1.10158,1.10168,0.00
1500158400,1.10168,1.10306,1.10138,1.10255,0.00
1500162000,1.10255,1.10331,1.10234,1.10285,0.00
1500165600,1.10285,1.10304,1.10248,1.10288,0.00
1500169200,1.10288,1.10304,1.10227,1.10298,0.00
1500172800,1.10298,1.10307,1.10220,1.10267,0.00
1500176400,1.10267,1.10275,1.10223,1.10248,0.00
1500180000,1.10248,1.10322,1.10214,1.10321,0.00
1500183600,1.10321,1.10359,1.10306,1.10344,0.00
1500187200,1.10344,1.10378,1.10306,1.10309,0.00
1500190800,1.10309,1.10382,1.10290,1.10344,0.00
1500194400,1.10344,1.10423,1.10337,1.10358,0.00
1500198000,1.10358,1.10362,1.10299,1.10344,0.00
1500201600,1.10344,1.10366,1.10308,1.10350,0.00
1500205200,1.10350,1.10402,1.10316,1.10325,0.00
1500208800,1.10325,1.10355,1.10298,1.10336,0.00
1500212400,1.10336,1.10397,1.10321,1.10367,0.00
1500216000,1.10367,1.10411,1.10344,1.10357,0.00
1500219600,1.10357,1.10380,1.10340,1.10355,0.00
1500223200,1.10355,1.10397,1.10343,1.10380,0.00
1500226800,1.10380,1.10452,1.10369,1.10431,0.00
1500230400,1.10431,1.10499,1.10375,1.10431,0.00
1500234000,1.10431,1.10475,1.10428,1.10466,0.00
1500237600,1.10466,1.10562,1.10399,1.10562,0.00
1500241200,1.10562,1.10572,1.10525,1.10540,0.00
1500244800,1.10540,1.10542,1.10497,1.10505,0.00
1500248400,1.10505,1.10579,1.10445,1.10516,0.00
1500252000,1.10516,1.10568,1.10478,1.10508,0.00
1500255600,1.10508,1.10618,1.10482,1.10523,0.00
1500259200,1.10523,1.10539,1.10434,1.10448,0.00
1500262800,1.10448,1.10522,1.10440,1.10483,0.00
1500266400,1.10483,1.10496,1.10366,1.10403,0.00
1500270000,1.10403,1.10486,1.10402,1.10427,0.00
1500273600,1.10427,1.10561,1.10410,1.10497,0.00
1500277200,1.10497,1.10550,1.10472,1.10513,0.00
1500280800,1.10513,1.10531,1.10495,1.10515,0.00
1500284400,1.10515,1.10550,1.10468,1.10492,0.00
1500288000,1.10492,1.10511,1.10365,1.10434,0.00
1500291600,1.10434,1.10448,1.10372,1.10418,0.00
1500295200,1.10418,1.10452,1.10406,1.10422,0.00
1500298800,1.10422,1.10442,1.10339,1.10385,0.00
1500302400,1.10385,1.10450,1.10285,1.10435,0.00
1500306000,1.10435,1.10454,1.10424,1.10434,0.00
1500309600,1.10434,1.10503,1.10378,1.10423,0.00
1500313200,1.10423,1.10435,1.10340,1.10353,0.00
1500316800,1.10353,1.10433,1.10286,1.10393,0.00
1500320400,1.10393,1.10395,1.10295,1.10298,0.00
1500324000,1.10298,1.10338,1.10261,1.10315,0.00
1500327600,1.10315,1.10325,1.10203,1.10214,0.00
1500331200,1.10214,1.10288,1.10209,1.10264,0.00
1500334800,1.10264,1.10336,1.10245,1.10332,0.00
1500338400,1.10332,1.10350,1.10242,1.10307,0.00
1500342000,1.10307,1.10322,1.10296,1.10315,0.00
1500345600,1.10315,1.10326,1.10228,1.10279,0.00
1500349200,1.10279,1.10297,1.10262,1.10282,0.00
1500352800,1.10282,1.10320,1.10275,1.10279,0.00
1500356400,1.10279,1.10337,1.10250,1.10282,0.00
1500360000,1.10282,1.10355,1.10262,1.10334,0.00
1500363600,1.10334,1.10343,1.10265,1.10278,0.00
1500367200,1.10278,1.10337,1.10223,1.10240,0.00
1500370800,1.10240,1.10256,1.10133,1.10145,0.00
1500374400,1.10145,1.10159,1.10133,1.10145,0.00
1500378000,1.10145,1.10180,1.10021,1.10044,0.00
1500381600,1.10044,1.10166,1.09990,1.10109,0.00
1500385200,1.10109,1.10132,1.09949,1.10007,0.00
1500388800,1.10007,1.10095,1.09973,1.10088,0.00
1500392400,1.10088,1.10208,1.10031,1.10189,0.00
1500396000,1.10189,1.10226,1.10185,1.10204,0.00
1500399600,1.10204,1.10245,1.10138,1.10181,0.00
1500403200,1.10181,1.10252,1.10156,1.10197,0.00
1500406800,1.10197,1.10214,1.10177,1.10208,0.00
1500410400,1.10208,1.10244,1.10180,1.10241,0.00
1500414000,1.10241,1.10353,1.10236,1.10330,0.00
1500417600,1.10330,1.10353,1.10261,1.10298,0.00
1500421200,1.10298,1.10312,1.10286,1.10291,0.00
1500424800,1.10291,1.10326,1.10268,1.10323,0.00
1500428400,1.10323,1.10347,1.10294,1.10314,0.00
1500432000,1.10314,1.10340,1.10280,1.10308,0.00
1500435600,1.10308,1.10338,1.10246,1.10272,0.00
1500439200,1.10272,1.10319,1.10202,1.10270,0.00
1500442800,1.10270,1.10318,1.10259,1.10272,0.00
1500446400,1.10272,1.10316,1.10261,1.10268,0.00
1500450000,1.10268,1.10297,1.10245,1.10283,0.00
1500453600,1.10283,1.10337,1.10241,1.10246,0.00
1500457200,1.10246,1.10257,1.10176,1.10205,0.00
1500460800,1.10205,1.10219,1.10149,1.10171,0.00
1500464400,1.10171,1.10251,1.10154,1.10209,0.00
1500468000,1.10209,1.10290,1.10197,1.10266,0.00
1500471600,1.10266,1.10351,1.10266,1.10326,0.00
1500475200,1.10326,1.10343,1.10248,1.10267,0.00
1500478800,1.10267,1.10287,1.10214,1.10222,0.00
1500482400,1.10222,1.10232,1.10111,1.10116,0.00
1500486000,1.10116,1.10147,1.10069,1.10087,0.00
1500489600,1.10087,1.10107,1.10037,1.10057,0.00
1500493200,1.10057,1.10067,1.09963,1.09982,0.00
1500496800,1.09982,1.09993,1.09981,1.09986,0.00
1500500400,1.09986,1.10050,1.09977,1.10043,0.00
1500504000,1.10043,1.10065,1.09968,1.09983,0.00
1500507600,1.09983,1.10079,1.09983,1.10056,0.00
1500511200,1.10056,1.10059,1.10054,1.10054,0.00
1500514800,1.10054,1.10079,1.09949,1.09969,0.00
1500518400,1.09969,1.10093,1.09959,1.10026,0.00
1500522000,1.10026,1.10026,1.09966,1.10025,0.00
1500525600,1.10025,1.10039,1.09895,1.09939,0.00
1500529200,1.09939,1.09999,1.09769,1.09810,0.00
1500532800,1.09810,1.09890,1.09803,1.09864,0.00
1500536400,1.09864,1.09882,1.09773,1.09807,0.00
1500540000,1.09807,1.09903,1.09784,1.09873,0.00
1500543600,1.09873,1.09880,1.09830,1.09880,0.00
1500547200,1.09880,1.09922,1.09863,1.09886,0.00
1500550800,1.09886,1.09908,1.09847,1.09858,0.00
1500554400,1.09858,1.09884,1.09837,1.09853,0.00
1500558000,1.09853,1.09858,1.09801,1.09847,0.00
1500561600,1.09847,1.09857,1.09811,1.09842,0.00
1500565200,1.09842,1.09895,1.09832,1.09877,0.00
1500568800,1.09877,1.09908,1.09743,1.09783,0.00
1500572400,1.09783,1.09814,1.09704,1.09744,0.00
1500576000,1.09744,1.09747,1.09711,1.09741,0.00
1500579600,1.09741,1.09854,1.09682,1.09809,0.00
1500583200,1.09809,1.09833,1.09698,1.09737,0.00
1500586800,1.09737,1.09741,1.09697,1.09718,0.00
1500590400,1.09718,1.09721,1.09684,1.09707,0.00
1500594000,1.09707,1.09788,1.09697,1.09773,0.00
1500597600,1.09773,1.09776,1.09743,1.09748,0.00
1500601200,1.09748,1.09778,1.09716,1.09740,0.00
1500604800,1.09740,1.09819,1.09718,1.09812,0.00
1500608400,1.09812,1.09882,1.09802,1.09854,0.00
1500612000,1.09854,1.09891,1.09852,1.09865,0.00
1500615600,1.09865,1.09866,1.09761,1.09817,0.00
1500619200,1.09817,1.09830,1.09780,1.09818,0.00
1500622800,1.09818,1.09854,1.09818,1.09826,0.00
1500626400,1.09826,1.09868,1.09746,1.09775,0.00
1500630000,1.09775,1.09794,1.09701,1.09708,0.00
1500633600,1.09708,1.09739,1.09676,1.09737,0.00
1500637200,1.09737,1.09810,1.09729,1.09790,0.00
1500640800,1.09790,1.09839,1.09744,1.09765,0.00
1500644400,1.09765,1.09825,1.09750,1.09825,0.00
1500648000,1.09825,1.09950,1.09819,1.09880,0.00
1500651600,1.09880,1.09905,1.09838,1.09888,0.00
1500655200,1.09888,1.09945,1.09885,1.09937,0.00
1500658800,1.09937,1.09952,1.09879,1.09918,0.00
1500662400,1.09918,1.10019,1.09894,1.09988,0.00
