time,open,high,low,close,volume
1500000000,1.10000,1.10003,1.09995,1.09996,0.00
1500000900,1.09996,1.10016,1.09974,1.10014,0.00
1500001800,1.10014,1.10026,1.10011,1.10022,0.00
1500002700,1.10022,1.10029,1.10005,1.10025,0.00
1500003600,1.10025,1.10043,1.10014,1.10042,0.00
1500004500,1.10042,1.10045,1.09997,1.10016,0.00
1500005400,1.10016,1.10019,1.10008,1.10017,0.00
1500006300,1.10017,1.10022,1.09974,1.09981,0.00
1500007200,1.09981,1.10006,1.09975,1.10003,0.00
1500008100,1.10003,1.10021,1.09986,1.10009,0.00
1500009000,1.10009,1.10046,1.09970,1.10023,0.00
1500009900,1.10023,1.10037,1.09995,1.10008,0.00
1500010800,1.10008,1.10043,1.09995,1.10025,0.00
1500011700,1.10025,1.10026,1.09995,1.10000,0.00
1500012600,1.10000,1.10015,1.09990,1.10003,0.00
1500013500,1.10003,1.10021,1.09995,1.10011,0.00
1500014400,1.10011,1.10022,1.09989,1.09996,0.00
1500015300,1.09996,1.10012,1.09961,1.10008,0.00
1500016200,1.10008,1.10025,1.09976,1.09988,0.00
1500017100,1.09988,1.10031,1.09975,1.10023,0.00
1500018000,1.10023,1.10060,1.10002,1.10059,0.00
1500018900,1.10059,1.10073,1.10024,1.10046,0.00
1500019800,1.10046,1.10050,1.10041,1.10047,0.00
1500020700,1.10047,1.10074,1.10012,1.10065,0.00
1500021600,1.10065,1.10089,1.10056,1.10080,0.00
1500022500,1.10080,1.10095,1.10051,1.10060,0.00
1500023400,1.10060,1.10071,1.10047,1.10058,0.00
1500024300,1.10058,1.10086,1.10034,1.10051,0.00
1500025200,1.10051,1.10057,1.10019,1.10036,0.00
1500026100,1.10036,1.10040,1.10034,1.10036,0.00
1500027000,1.10036,1.10077,1.10032,1.10063,0.00
1500027900,1.10063,1.10077,1.10032,1.10038,0.00
1500028800,1.10038,1.10069,1.10009,1.10069,0.00
1500029700,1.10069,1.10093,1.10058,1.10060,0.00
1500030600,1.10060,1.10077,1.10045,1.10047,0.00
1500031500,1.10047,1.10095,1.10037,1.10083,0.00
1500032400,1.10083,1.10093,1.10015,1.10023,0.00
1500033300,1.10023,1.10033,1.10010,1.10010,0.00
1500034200,1.10010,1.10069,1.10003,1.10053,0.00
1500035100,1.10053,1.10094,1.10047,1.10087,0.00
1500036000,1.10087,1.10108,1.10084,1.10089,0.00
1500036900,1.10089,1.10103,1.10059,1.10059,0.00
1500037800,1.10059,1.10121,1.10039,1.10116,0.00
1500038700,1.10116,1.10118,1.10079,1.10084,0.00
1500039600,1.10084,1.10153,1.10069,1.10128,0.00
1500040500,1.10128,1.10166,1.10117,1.10143,0.00
1500041400,1.10143,1.10152,1.10124,1.10144,0.00
1500042300,1.10144,1.10152,1.10114,1.10149,0.00
1500043200,1.10149,1.10154,1.10110,1.10134,0.00
1500044100,1.10134,1.10138,1.10112,1.10124,0.00
1500045000,1.10124,1.10161,1.10107,1.10160,0.00
1500045900,1.10160,1.10180,1.10153,1.10172,0.00
1500046800,1.10172,1.10189,1.10153,1.10154,0.00
1500047700,1.10154,1.10191,1.10145,1.10172,0.00
1500048600,1.10172,1.10212,1.10168,1.10179,0.00
1500049500,1.10179,1.10181,1.10150,1.10172,0.00
1500050400,1.10172,1.10183,1.10154,1.10175,0.00
1500051300,1.10175,1.10201,1.10158,1.10162,0.00
1500052200,1.10162,1.10177,1.10149,1.10168,0.00
1500053100,1.10168,1.10198,1.10160,1.10183,0.00
1500054000,1.10183,1.10206,1.10172,1.10179,0.00
1500054900,1.10179,1.10190,1.10170,1.10178,0.00
1500055800,1.10178,1.10199,1.10172,1.10190,0.00
1500056700,1.10190,1.10226,1.10184,1.10215,0.00
1500057600,1.10215,1.10250,1.10188,1.10216,0.00
1500058500,1.10216,1.10238,1.10214,1.10233,0.00
1500059400,1.10233,1.10281,1.10200,1.10281,0.00
1500060300,1.10281,1.10286,1.10263,1.10270,0.00
1500061200,1.10270,1.10271,1.10249,1.10253,0.00
1500062100,1.10253,1.10290,1.10223,1.10258,0.00
1500063000,1.10258,1.10284,1.10239,1.10254,0.00
1500063900,1.10254,1.10309,1.10241,1.10261,0.00
1500064800,1.10261,1.10270,1.10217,1.10224,0.00
1500065700,1.10224,1.10261,1.10220,1.10242,0.00
1500066600,1.10242,1.10248,1.10183,1.10202,0.00
1500067500,1.10202,1.10243,1.10201,1.10213,0.00
1500068400,1.10213,1.10280,1.10205,1.10249,0.00
1500069300,1.10249,1.10275,1.10236,1.10256,0.00
1500070200,1.10256,1.10265,1.10248,1.10258,0.00
1500071100,1.10258,1.10275,1.10234,1.10246,0.00
1500072000,1.10246,1.10256,1.10182,1.10217,0.00
1500072900,1.10217,1.10224,1.10186,1.10209,0.00
1500073800,1.10209,1.10226,1.10203,1.10211,0.00
1500074700,1.10211,1.10221,1.10170,1.10192,0.00
1500075600,1.10192,1.10225,1.10142,1.10217,0.00
1500076500,1.10217,1.10227,1.10212,1.10217,0.00
1500077400,1.10217,1.10252,1.10189,1.10211,0.00
1500078300,1.10211,1.10217,1.10170,1.10177,0.00
1500079200,1.10177,1.10217,1.10143,1.10196,0.00
1500080100,1.10196,1.10197,1.10147,1.10149,0.00
1500081000,1.10149,1.10169,1.10130,1.10158,0.00
1500081900,1.10158,1.10163,1.10102,1.10107,0.00
1500082800,1.10107,1.10144,1.10104,1.10132,0.00
1500083700,1.10132,1.10168,1.10122,1.10166,0.00
1500084600,1.10166,1.10175,1.10121,1.10153,0.00
1500085500,1.10153,1.10161,1.10148,1.10157,0.00
1500086400,1.10157,1.10163,1.10114,1.10140,0.00
1500087300,1.10140,1.10148,1.10131,1.10141,0.00
1500088200,1.10141,1.10160,1.10137,1.10139,0.00
1500089100,1.10139,1.10169,1.10125,1.10141,0.00
1500090000,1.10141,1.10178,1.10131,1.10167,0.00
1500090900,1.10167,1.10172,1.10132,1.10139,0.00
1500091800,1.10139,1.10169,1.10111,1.10120,0.00
1500092700,1.10120,1.10128,1.10066,1.10072,0.00
1500093600,1.10072,1.10080,1.10067,1.10073,0.00
1500094500,1.10073,1.10090,1.10010,1.10022,0.00
1500095400,1.10022,1.10083,1.09995,1.10055,0.00
1500096300,1.10055,1.10066,1.09975,1.10003,0.00
1500097200,1.10003,1.10048,1.09986,1.10044,0.00
1500098100,1.10044,1.10104,1.10016,1.10094,0.00
1500099000,1.10094,1.10113,1.10093,1.10102,0.00
1500099900,1.10102,1.10123,1.10069,1.10091,0.00
1500100800,1.10091,1.10126,1.10078,1.10099,0.00
1500101700,1.10099,1.10107,1.10088,1.10104,0.00
1500102600,1.10104,1.10122,1.10090,1.10121,0.00
1500103500,1.10121,1.10177,1.10118,1.10165,0.00
1500104400,1.10165,1.10177,1.10131,1.10149,0.00
1500105300,1.10149,1.10156,1.10143,1.10146,0.00
