Date,Open,High,Low,Close
1956-05-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1956-06-01,6.8000000000,6.8000000000,6.8000000000,6.8000000000
1956-07-01,6.8000000000,6.8000000000,6.8000000000,6.8000000000
1956-08-01,6.8000000000,6.8000000000,6.8000000000,6.8000000000
1956-09-01,7.0000000000,7.0000000000,7.0000000000,7.0000000000
1956-10-01,7.0000000000,7.0000000000,7.0000000000,7.0000000000
1956-11-01,7.2000000000,7.2000000000,7.2000000000,7.2000000000
1956-12-01,7.3000000000,7.3000000000,7.3000000000,7.3000000000
1957-01-01,7.3000000000,7.3000000000,7.3000000000,7.3000000000
1957-02-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1957-03-01,7.5000000000,7.5000000000,7.5000000000,7.5000000000
1957-04-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1957-05-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1957-06-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1957-07-01,7.5000000000,7.5000000000,7.5000000000,7.5000000000
1957-08-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1957-09-01,7.6000000000,7.6000000000,7.6000000000,7.6000000000
1957-10-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1957-11-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1957-12-01,7.7000000000,7.7000000000,7.7000000000,7.7000000000
1958-01-01,7.5000000000,7.5000000000,7.5000000000,7.5000000000
1958-02-01,7.5000000000,7.5000000000,7.5000000000,7.5000000000
1958-03-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1958-04-01,7.4000000000,7.4000000000,7.4000000000,7.4000000000
1958-05-01,7.3000000000,7.3000000000,7.3000000000,7.3000000000
1958-06-01,7.1000000000,7.1000000000,7.1000000000,7.1000000000
1958-07-01,6.7000000000,6.7000000000,6.7000000000,6.7000000000
1958-08-01,6.5000000000,6.5000000000,6.5000000000,6.5000000000
1958-09-01,6.2000000000,6.2000000000,6.2000000000,6.2000000000
1958-10-01,6.0000000000,6.0000000000,6.0000000000,6.0000000000
1958-11-01,5.9000000000,5.9000000000,5.9000000000,5.9000000000
1958-12-01,5.9000000000,5.9000000000,5.9000000000,5.9000000000
1959-01-01,5.8000000000,5.8000000000,5.8000000000,5.8000000000
1959-02-01,5.6000000000,5.6000000000,5.6000000000,5.6000000000
1959-03-01,5.6000000000,5.6000000000,5.6000000000,5.6000000000
1959-04-01,5.6000000000,5.6000000000,5.6000000000,5.6000000000
1959-05-01,5.7000000000,5.7000000000,5.7000000000,5.7000000000
1959-06-01,5.7000000000,5.7000000000,5.7000000000,5.7000000000
1959-07-01,5.6000000000,5.6000000000,5.6000000000,5.6000000000
1959-08-01,5.5000000000,5.5000000000,5.5000000000,5.5000000000
1959-09-01,5.8000000000,5.8000000000,5.8000000000,5.8000000000
1959-10-01,6.0000000000,6.0000000000,6.0000000000,6.0000000000
1959-11-01,6.1000000000,6.1000000000,6.1000000000,6.1000000000
1959-12-01,6.2000000000,6.2000000000,6.2000000000,6.2000000000
1960-01-01,6.5000000000,6.5000000000,6.5000000000,6.5000000000
1960-02-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1960-03-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
1960-04-01,6.4000000000,6.4000000000,6.4000000000,6.4000000000
